Team,IncidentNumber,OpenTime,CloseTime,ResolvedBy,DurationHours
Team 7,INC1023,2025-05-02 16:00:00,2025-05-03 16:38:46.670266,Team 7_Member_2,24.64629729611111
Team 9,INC1024,2025-05-07 17:00:00,2025-05-07 18:00:09.849794,Team 9_Member_4,1.002736053888889
Team 7,INC1025,2025-05-05 02:00:00,2025-05-05 10:56:51.665115,Team 7_Member_5,8.947684754166666
Team 6,INC1026,2025-05-02 10:00:00,2025-05-02 16:23:26.380802,Team 6_Member_3,6.390661333888889
Team 5,INC1027,2025-05-01 00:00:00,2025-05-01 12:47:29.820942,Team 5_Member_3,12.791616928333333
Team 7,INC1028,2025-05-06 16:00:00,2025-05-07 04:24:05.860764,Team 7_Member_3,12.40162799
Team 10,INC1029,2025-05-06 03:00:00,2025-05-06 04:08:30.027667,Team 10_Member_2,1.1416743519444446
Team 7,INC1030,2025-05-03 03:00:00,2025-05-03 11:17:04.303762,Team 7_Member_1,8.284528822777778
Team 4,INC1031,2025-05-07 06:00:00,2025-05-07 15:16:26.242019,Team 4_Member_5,9.273956116388888
Team 4,INC1032,2025-05-07 15:00:00,2025-05-08 00:08:04.502864,Team 4_Member_5,9.13458412888889
Team 3,INC1033,2025-05-03 17:00:00,2025-05-04 02:47:27.895077,Team 3_Member_4,9.791081965833333
Team 9,INC1034,2025-05-06 13:00:00,2025-05-06 19:05:52.410537,Team 9_Member_5,6.097891815833333
Team 4,INC1035,2025-05-06 07:00:00,2025-05-06 23:28:24.538487,Team 4_Member_3,16.473482913055555
Team 9,INC1036,2025-05-06 08:00:00,2025-05-06 10:35:12.722861,Team 9_Member_1,2.586867461388889
Team 9,INC1037,2025-05-09 12:00:00,2025-05-10 07:42:48.418988,Team 9_Member_4,19.71344971888889
Team 7,INC1038,2025-05-06 16:00:00,2025-05-06 22:37:57.298084,Team 7_Member_3,6.632582801111111
Team 1,INC1039,2025-05-10 17:00:00,2025-05-10 21:07:08.708875,Team 1_Member_3,4.119085798611112
Team 6,INC1040,2025-05-08 11:00:00,2025-05-08 15:31:11.081963,Team 6_Member_1,4.519744989722223
Team 1,INC1041,2025-05-03 03:00:00,2025-05-03 05:50:06.917048,Team 1_Member_2,2.8352547355555555
Team 7,INC1042,2025-05-06 10:00:00,2025-05-06 13:34:45.496563,Team 7_Member_2,3.5793046008333333
Team 1,INC1043,2025-05-08 18:00:00,2025-05-09 03:24:17.714555,Team 1_Member_1,9.404920709722221
Team 2,INC1044,2025-05-03 05:00:00,2025-05-03 05:20:09.932968,Team 2_Member_4,0.3360924911111111
Team 1,INC1045,2025-05-07 02:00:00,2025-05-07 13:24:59.085103,Team 1_Member_1,11.41641252861111
Team 5,INC1046,2025-05-10 01:00:00,2025-05-11 19:26:25.331374,Team 5_Member_4,42.44036982611111
Team 7,INC1047,2025-05-08 14:00:00,2025-05-09 04:20:19.954545,Team 7_Member_4,14.3388762625
Team 1,INC1048,2025-05-05 19:00:00,2025-05-07 11:59:50.913096,Team 1_Member_5,40.99747586
Team 6,INC1049,2025-05-10 23:00:00,2025-05-11 15:00:43.112964,Team 6_Member_3,16.011975823333334
Team 9,INC1050,2025-05-08 18:00:00,2025-05-08 20:03:51.555838,Team 9_Member_4,2.0643210661111113
Team 3,INC1051,2025-05-08 18:00:00,2025-05-08 20:29:15.735926,Team 3_Member_4,2.487704423888889
Team 10,INC1052,2025-05-07 02:00:00,2025-05-07 06:17:14.376912,Team 10_Member_3,4.28732692
Team 7,INC1053,2025-05-10 16:00:00,2025-05-11 03:44:31.650992,Team 7_Member_4,11.742125275555557
Team 7,INC1054,2025-05-05 07:00:00,2025-05-05 08:28:45.998884,Team 7_Member_2,1.4794441344444444
Team 9,INC1055,2025-05-08 09:00:00,2025-05-09 10:51:42.854297,Team 9_Member_1,25.861903971388887
Team 10,INC1056,2025-05-01 06:00:00,2025-05-01 16:47:15.458606,Team 10_Member_3,10.787627390555556
Team 10,INC1057,2025-05-03 11:00:00,2025-05-03 14:01:20.144192,Team 10_Member_1,3.0222622755555553
Team 1,INC1058,2025-05-09 04:00:00,2025-05-10 03:04:03.879395,Team 1_Member_4,23.067744276388886
Team 7,INC1059,2025-05-10 16:00:00,2025-05-10 20:17:44.434169,Team 7_Member_1,4.295676158055556
Team 3,INC1060,2025-05-07 07:00:00,2025-05-07 12:11:01.231362,Team 3_Member_4,5.183675378333333
Team 1,INC1061,2025-05-04 02:00:00,2025-05-05 05:25:54.666555,Team 1_Member_4,27.431851820833334
Team 4,INC1062,2025-05-10 10:00:00,2025-05-10 14:39:23.957249,Team 4_Member_4,4.656654791388888
Team 9,INC1063,2025-05-07 08:00:00,2025-05-07 08:03:02.679734,Team 9_Member_3,0.05074437055555556
Team 2,INC1064,2025-05-03 05:00:00,2025-05-03 10:56:59.132509,Team 2_Member_2,5.949759030277778
Team 9,INC1065,2025-05-07 16:00:00,2025-05-07 16:10:56.665870,Team 9_Member_4,0.18240718611111112
Team 5,INC1066,2025-05-06 07:00:00,2025-05-06 20:37:56.789837,Team 5_Member_4,13.632441621388889
Team 3,INC1067,2025-05-06 07:00:00,2025-05-06 15:24:01.595001,Team 3_Member_1,8.400443055833334
Team 3,INC1068,2025-05-03 02:00:00,2025-05-04 00:15:37.987605,Team 3_Member_5,22.2605521125
Team 2,INC1069,2025-05-02 05:00:00,2025-05-02 15:21:33.432932,Team 2_Member_5,10.359286925555557
Team 1,INC1070,2025-05-03 12:00:00,2025-05-03 18:54:55.268647,Team 1_Member_5,6.915352401944444
Team 4,INC1071,2025-05-08 23:00:00,2025-05-09 09:22:10.876307,Team 4_Member_3,10.369687863055555
Team 1,INC1072,2025-05-10 03:00:00,2025-05-10 09:20:51.849144,Team 1_Member_4,6.347735873333333
Team 5,INC1073,2025-05-06 03:00:00,2025-05-06 03:09:20.783353,Team 5_Member_3,0.15577315361111113
Team 8,INC1074,2025-05-02 21:00:00,2025-05-04 07:00:30.312580,Team 8_Member_5,34.00842016111111
Team 3,INC1075,2025-05-10 08:00:00,2025-05-10 08:47:00.093925,Team 3_Member_4,0.7833594236111111
Team 5,INC1076,2025-05-03 18:00:00,2025-05-03 19:51:25.870187,Team 5_Member_1,1.8571861630555557
Team 9,INC1077,2025-05-10 06:00:00,2025-05-11 00:35:33.593736,Team 9_Member_2,18.592664926666664
Team 3,INC1078,2025-05-02 07:00:00,2025-05-02 18:07:16.818411,Team 3_Member_2,11.1213384475
Team 7,INC1079,2025-05-06 06:00:00,2025-05-06 13:18:17.831699,Team 7_Member_2,7.304953249722222
Team 2,INC1080,2025-05-01 16:00:00,2025-05-02 10:52:58.477481,Team 2_Member_2,18.882910411388888
Team 9,INC1081,2025-05-08 07:00:00,2025-05-08 15:02:52.585052,Team 9_Member_3,8.047940292222222
Team 10,INC1082,2025-05-05 02:00:00,2025-05-05 04:57:35.727582,Team 10_Member_2,2.9599243283333334
Team 8,INC1083,2025-05-03 11:00:00,2025-05-03 18:09:39.356530,Team 8_Member_5,7.160932369444445
Team 9,INC1084,2025-05-08 04:00:00,2025-05-08 06:09:36.413530,Team 9_Member_4,2.1601148694444445
Team 8,INC1085,2025-05-05 18:00:00,2025-05-05 22:07:29.366657,Team 8_Member_4,4.124824071388889
Team 2,INC1086,2025-05-02 07:00:00,2025-05-02 15:38:02.904958,Team 2_Member_2,8.63414026611111
Team 6,INC1087,2025-05-07 08:00:00,2025-05-07 09:41:04.844523,Team 6_Member_3,1.6846790341666666
Team 6,INC1088,2025-05-03 09:00:00,2025-05-03 09:18:35.102236,Team 6_Member_2,0.3097506211111111
Team 4,INC1089,2025-05-03 21:00:00,2025-05-04 00:36:48.631683,Team 4_Member_2,3.6135088008333334
Team 5,INC1090,2025-05-01 07:00:00,2025-05-01 21:41:47.325856,Team 5_Member_1,14.696479404444446
Team 5,INC1091,2025-05-01 05:00:00,2025-05-01 05:31:50.343453,Team 5_Member_4,0.5306509591666666
Team 4,INC1092,2025-05-03 06:00:00,2025-05-03 07:29:20.749640,Team 4_Member_3,1.4890971222222222
Team 2,INC1093,2025-05-05 09:00:00,2025-05-05 12:54:00.709708,Team 2_Member_4,3.900197141111111
Team 1,INC1094,2025-05-04 19:00:00,2025-05-05 08:37:38.799213,Team 1_Member_3,13.627444225833333
Team 10,INC1095,2025-05-10 01:00:00,2025-05-11 09:52:25.677238,Team 10_Member_5,32.87379923277778
Team 7,INC1096,2025-05-06 19:00:00,2025-05-07 00:15:30.947201,Team 7_Member_1,5.2585964447222215
Team 10,INC1097,2025-05-01 00:00:00,2025-05-01 05:50:24.999072,Team 10_Member_2,5.84027752
Team 6,INC1098,2025-05-10 15:00:00,2025-05-11 18:16:28.094521,Team 6_Member_1,27.274470700277778
Team 1,INC1099,2025-05-10 14:00:00,2025-05-11 00:42:12.580466,Team 1_Member_5,10.70349457388889
Team 5,INC1100,2025-05-09 02:00:00,2025-05-09 04:50:47.806522,Team 5_Member_5,2.846612922777778
Team 3,INC1101,2025-05-04 13:00:00,2025-05-04 13:08:41.930870,Team 3_Member_5,0.14498079722222224
Team 5,INC1102,2025-05-04 21:00:00,2025-05-05 16:20:31.309210,Team 5_Member_1,19.34203033611111
Team 4,INC1103,2025-05-09 11:00:00,2025-05-09 11:10:23.162167,Team 4_Member_5,0.17310060194444443
Team 10,INC1104,2025-05-02 14:00:00,2025-05-02 18:15:04.080909,Team 10_Member_5,4.251133585833333
Team 5,INC1105,2025-05-01 09:00:00,2025-05-02 14:47:16.483878,Team 5_Member_2,29.787912188333333
Team 4,INC1106,2025-05-08 11:00:00,2025-05-08 15:41:37.824168,Team 4_Member_2,4.693840046666667
Team 10,INC1107,2025-05-08 17:00:00,2025-05-08 23:57:08.248108,Team 10_Member_3,6.952291141111111
Team 8,INC1108,2025-05-10 20:00:00,2025-05-10 21:46:42.703276,Team 8_Member_5,1.7785286877777777
Team 8,INC1109,2025-05-10 03:00:00,2025-05-10 11:48:48.505601,Team 8_Member_2,8.813473778055556
Team 4,INC1110,2025-05-08 09:00:00,2025-05-08 17:31:05.923840,Team 4_Member_4,8.518312177777778
Team 1,INC1111,2025-05-08 20:00:00,2025-05-09 03:53:17.316981,Team 1_Member_1,7.888143605833333
Team 5,INC1112,2025-05-03 18:00:00,2025-05-04 11:10:18.213546,Team 5_Member_4,17.171725985
Team 8,INC1113,2025-05-02 18:00:00,2025-05-02 20:10:44.265394,Team 8_Member_2,2.1789626094444445
Team 2,INC1114,2025-05-02 10:00:00,2025-05-02 14:06:11.093004,Team 2_Member_5,4.10308139
Team 10,INC1115,2025-05-07 09:00:00,2025-05-07 20:26:41.631220,Team 10_Member_5,11.444897561111112
Team 2,INC1116,2025-05-05 08:00:00,2025-05-05 14:51:09.119799,Team 2_Member_3,6.8525332775
Team 10,INC1117,2025-05-05 17:00:00,2025-05-06 02:54:50.370352,Team 10_Member_5,9.913991764444443
Team 8,INC1118,2025-05-10 00:00:00,2025-05-10 16:16:11.849016,Team 8_Member_4,16.26995806
Team 9,INC1119,2025-05-06 17:00:00,2025-05-06 22:30:26.263329,Team 9_Member_4,5.507295369166667
Team 8,INC1120,2025-05-08 08:00:00,2025-05-08 21:09:16.373361,Team 8_Member_3,13.154548155833332
Team 4,INC1121,2025-05-10 14:00:00,2025-05-10 22:41:16.680292,Team 4_Member_2,8.687966747777779
Team 7,INC1122,2025-05-01 11:00:00,2025-05-01 16:36:12.801940,Team 7_Member_5,5.6035560944444445
Team 7,INC1123,2025-05-05 02:00:00,2025-05-05 03:05:18.150677,Team 7_Member_1,1.0883751880555557
Team 1,INC1124,2025-05-03 13:00:00,2025-05-03 19:51:46.551775,Team 1_Member_1,6.862931048611111
Team 9,INC1125,2025-05-08 18:00:00,2025-05-08 19:03:12.374055,Team 9_Member_5,1.0534372375
Team 4,INC1126,2025-05-08 20:00:00,2025-05-09 19:34:44.662691,Team 4_Member_4,23.579072969722223
Team 9,INC1127,2025-05-09 13:00:00,2025-05-10 00:17:38.070210,Team 9_Member_4,11.293908391666665
Team 4,INC1128,2025-05-05 14:00:00,2025-05-05 14:52:10.488317,Team 4_Member_3,0.8695800880555555
Team 5,INC1129,2025-05-06 19:00:00,2025-05-06 22:59:05.508044,Team 5_Member_3,3.9848633455555555
Team 5,INC1130,2025-05-03 04:00:00,2025-05-03 19:40:55.034984,Team 5_Member_4,15.681954162222222
Team 9,INC1131,2025-05-08 12:00:00,2025-05-08 18:49:13.785477,Team 9_Member_5,6.8204959658333335
Team 7,INC1132,2025-05-06 12:00:00,2025-05-07 01:21:26.512303,Team 7_Member_2,13.357364528611113
Team 2,INC1133,2025-05-01 08:00:00,2025-05-01 22:20:03.499695,Team 2_Member_4,14.334305470833334
Team 1,INC1134,2025-05-10 13:00:00,2025-05-10 13:52:42.798780,Team 1_Member_5,0.8785552166666667
Team 8,INC1135,2025-05-06 16:00:00,2025-05-07 09:15:06.690737,Team 8_Member_2,17.251858538055554
Team 10,INC1136,2025-05-01 04:00:00,2025-05-01 11:12:05.800723,Team 10_Member_2,7.201611311944444
Team 6,INC1137,2025-05-06 15:00:00,2025-05-06 19:41:18.152972,Team 6_Member_3,4.688375825555555
Team 1,INC1138,2025-05-07 00:00:00,2025-05-08 05:25:17.923367,Team 1_Member_4,29.42164537972222
Team 9,INC1139,2025-05-06 11:00:00,2025-05-06 15:18:40.274519,Team 9_Member_5,4.311187366388889
Team 3,INC1140,2025-05-05 11:00:00,2025-05-05 19:10:24.974672,Team 3_Member_5,8.173604075555556
Team 10,INC1141,2025-05-01 18:00:00,2025-05-01 19:10:43.687487,Team 10_Member_2,1.1788020797222223
Team 3,INC1142,2025-05-06 20:00:00,2025-05-07 01:11:43.208620,Team 3_Member_5,5.1953357277777785
Team 10,INC1143,2025-05-10 03:00:00,2025-05-10 17:34:31.924370,Team 10_Member_4,14.575534547222222
Team 9,INC1144,2025-05-06 10:00:00,2025-05-06 18:45:19.935979,Team 9_Member_1,8.755537771944445
Team 9,INC1145,2025-05-05 16:00:00,2025-05-05 16:51:55.054753,Team 9_Member_4,0.8652929869444445
Team 1,INC1146,2025-05-06 13:00:00,2025-05-07 05:12:01.445880,Team 1_Member_5,16.200401633333332
Team 5,INC1147,2025-05-09 10:00:00,2025-05-10 11:08:50.486258,Team 5_Member_5,25.14735729388889
Team 4,INC1148,2025-05-07 02:00:00,2025-05-08 12:50:08.707965,Team 4_Member_3,34.8357522125
Team 2,INC1149,2025-05-03 00:00:00,2025-05-03 11:53:56.444572,Team 2_Member_1,11.899012381111111
Team 1,INC1150,2025-05-03 05:00:00,2025-05-03 13:46:41.731025,Team 1_Member_5,8.778258618055556
Team 7,INC1151,2025-05-09 10:00:00,2025-05-09 13:17:54.338132,Team 7_Member_1,3.298427258888889
Team 8,INC1152,2025-05-07 07:00:00,2025-05-07 16:40:45.589035,Team 8_Member_4,9.6793302875
Team 8,INC1153,2025-05-04 19:00:00,2025-05-05 05:24:30.878782,Team 8_Member_2,10.408577439444445
Team 8,INC1154,2025-05-03 11:00:00,2025-05-03 19:45:44.773416,Team 8_Member_2,8.76243706
Team 5,INC1155,2025-05-10 11:00:00,2025-05-12 05:50:19.160720,Team 5_Member_1,42.83865575555556
Team 6,INC1156,2025-05-09 08:00:00,2025-05-09 11:42:13.654856,Team 6_Member_1,3.703793015555555
Team 4,INC1157,2025-05-10 03:00:00,2025-05-10 06:09:36.844024,Team 4_Member_5,3.160234451111111
Team 3,INC1158,2025-05-06 13:00:00,2025-05-07 18:55:02.586901,Team 3_Member_5,29.91738525027778
Team 5,INC1159,2025-05-09 01:00:00,2025-05-09 01:51:49.445757,Team 5_Member_1,0.8637349325
Team 2,INC1160,2025-05-05 12:00:00,2025-05-05 13:48:04.503030,Team 2_Member_3,1.8012508416666666
Team 8,INC1161,2025-05-05 21:00:00,2025-05-06 13:38:11.318028,Team 8_Member_1,16.63647723
Team 1,INC1162,2025-05-04 12:00:00,2025-05-05 01:50:45.923355,Team 1_Member_3,13.846089820833333
Team 9,INC1163,2025-05-02 02:00:00,2025-05-02 10:25:06.104292,Team 9_Member_3,8.418362303333334
Team 1,INC1164,2025-05-05 08:00:00,2025-05-05 13:21:30.057708,Team 1_Member_2,5.358349363333334
Team 1,INC1165,2025-05-10 23:00:00,2025-05-10 23:47:00.592447,Team 1_Member_5,0.7834979019444445
Team 1,INC1166,2025-05-04 22:00:00,2025-05-05 11:51:33.747218,Team 1_Member_5,13.85937422722222
Team 3,INC1167,2025-05-01 22:00:00,2025-05-02 12:39:10.191247,Team 3_Member_5,14.652830901944444
Team 5,INC1168,2025-05-09 09:00:00,2025-05-09 13:44:44.697863,Team 5_Member_2,4.74574940638889
Team 5,INC1169,2025-05-05 13:00:00,2025-05-05 15:53:45.858371,Team 5_Member_1,2.8960717697222225
Team 4,INC1170,2025-05-05 16:00:00,2025-05-06 06:08:48.849516,Team 4_Member_1,14.146902643333334
Team 2,INC1171,2025-05-04 22:00:00,2025-05-04 23:12:19.408370,Team 2_Member_4,1.205391213888889
Team 10,INC1172,2025-05-07 17:00:00,2025-05-07 23:27:59.967671,Team 10_Member_2,6.4666576863888885
Team 3,INC1173,2025-05-03 01:00:00,2025-05-03 20:07:03.724007,Team 3_Member_3,19.117701113055556
Team 6,INC1174,2025-05-06 12:00:00,2025-05-06 12:55:32.268088,Team 6_Member_4,0.9256300244444444
Team 9,INC1175,2025-05-05 15:00:00,2025-05-05 21:32:24.535299,Team 9_Member_1,6.540148694166667
Team 7,INC1176,2025-05-04 12:00:00,2025-05-04 22:11:55.637190,Team 7_Member_5,10.198788108333334
Team 3,INC1177,2025-05-10 09:00:00,2025-05-10 13:19:00.741415,Team 3_Member_4,4.316872615277778
Team 2,INC1178,2025-05-02 05:00:00,2025-05-02 13:05:33.601913,Team 2_Member_2,8.092667198055555
Team 3,INC1179,2025-05-03 03:00:00,2025-05-03 10:55:42.559107,Team 3_Member_2,7.928488640833334
Team 1,INC1180,2025-05-02 05:00:00,2025-05-02 14:43:51.257113,Team 1_Member_4,9.73090475361111
Team 3,INC1181,2025-05-06 12:00:00,2025-05-07 03:55:10.221213,Team 3_Member_1,15.919505892499998
Team 10,INC1182,2025-05-04 01:00:00,2025-05-04 15:38:59.335211,Team 10_Member_1,14.649815336388889
Team 4,INC1183,2025-05-02 09:00:00,2025-05-02 18:41:49.433974,Team 4_Member_5,9.697064992777777
Team 2,INC1184,2025-05-06 05:00:00,2025-05-06 15:02:05.505862,Team 2_Member_5,10.034862739444444
Team 3,INC1185,2025-05-07 06:00:00,2025-05-07 07:22:12.663266,Team 3_Member_1,1.3701842405555555
Team 6,INC1186,2025-05-05 07:00:00,2025-05-05 18:55:25.625984,Team 6_Member_4,11.923784995555556
Team 9,INC1187,2025-05-04 23:00:00,2025-05-05 05:25:25.721099,Team 9_Member_3,6.423811416388888
Team 2,INC1188,2025-05-06 01:00:00,2025-05-06 03:32:02.697901,Team 2_Member_5,2.534082750277778
Team 5,INC1189,2025-05-09 17:00:00,2025-05-09 20:15:55.732271,Team 5_Member_5,3.265481186388889
Team 6,INC1190,2025-05-03 21:00:00,2025-05-03 22:17:08.023686,Team 6_Member_5,1.2855621350000002
Team 9,INC1191,2025-05-04 17:00:00,2025-05-05 15:27:49.245777,Team 9_Member_4,22.4636793825
Team 1,INC1192,2025-05-02 20:00:00,2025-05-02 23:52:47.740404,Team 1_Member_2,3.87992789
Team 10,INC1193,2025-05-02 22:00:00,2025-05-03 07:53:09.372853,Team 10_Member_1,9.88593690361111
Team 8,INC1194,2025-05-03 14:00:00,2025-05-03 18:44:12.043637,Team 8_Member_3,4.736678788055555
Team 1,INC1195,2025-05-02 11:00:00,2025-05-03 03:24:33.666596,Team 1_Member_2,16.409351832222224
Team 1,INC1196,2025-05-08 11:00:00,2025-05-08 13:20:56.365123,Team 1_Member_3,2.348990311944444
Team 8,INC1197,2025-05-02 03:00:00,2025-05-02 07:36:11.252268,Team 8_Member_2,4.60312563
Team 8,INC1198,2025-05-05 12:00:00,2025-05-05 12:38:37.295597,Team 8_Member_2,0.6436932213888888
Team 8,INC1199,2025-05-01 06:00:00,2025-05-01 17:37:14.915984,Team 8_Member_3,11.620809995555556
Team 7,INC1200,2025-05-10 22:00:00,2025-05-10 22:18:34.058930,Team 7_Member_3,0.30946081388888885
Team 2,INC1201,2025-05-02 13:00:00,2025-05-02 20:36:21.844766,Team 2_Member_2,7.606067990555555
Team 9,INC1202,2025-05-02 03:00:00,2025-05-02 03:12:09.912987,Team 9_Member_5,0.20275360750000002
Team 9,INC1203,2025-05-10 14:00:00,2025-05-10 14:56:03.721108,Team 9_Member_1,0.9343669744444445
Team 9,INC1204,2025-05-01 12:00:00,2025-05-01 21:00:14.357300,Team 9_Member_1,9.00398813888889
Team 4,INC1205,2025-05-03 18:00:00,2025-05-04 04:27:52.720356,Team 4_Member_2,10.464644543333332
Team 2,INC1206,2025-05-05 14:00:00,2025-05-06 03:20:57.353137,Team 2_Member_4,13.349264760277777
Team 8,INC1207,2025-05-10 19:00:00,2025-05-10 20:21:53.448002,Team 8_Member_1,1.3648466672222221
Team 9,INC1208,2025-05-01 05:00:00,2025-05-02 03:59:26.349587,Team 9_Member_5,22.990652663055556
Team 2,INC1209,2025-05-08 15:00:00,2025-05-08 21:53:47.353311,Team 2_Member_3,6.896487030833333
Team 6,INC1210,2025-05-06 00:00:00,2025-05-06 02:42:28.603035,Team 6_Member_5,2.7079452875
Team 6,INC1211,2025-05-09 05:00:00,2025-05-09 09:32:48.924916,Team 6_Member_5,4.546923587777778
Team 4,INC1212,2025-05-08 21:00:00,2025-05-09 00:21:21.810536,Team 4_Member_3,3.3560584822222226
Team 8,INC1213,2025-05-06 10:00:00,2025-05-06 17:26:02.844604,Team 8_Member_1,7.434123501111111
Team 8,INC1214,2025-05-02 11:00:00,2025-05-04 21:58:54.085384,Team 8_Member_5,58.98169038444445
Team 6,INC1215,2025-05-09 19:00:00,2025-05-11 05:53:26.147909,Team 6_Member_2,34.89059664138889
Team 4,INC1216,2025-05-04 21:00:00,2025-05-04 22:52:26.383180,Team 4_Member_1,1.8739953277777777
Team 3,INC1217,2025-05-09 01:00:00,2025-05-09 09:08:11.415189,Team 3_Member_1,8.136504219166666
Team 8,INC1218,2025-05-08 10:00:00,2025-05-09 04:14:15.412791,Team 8_Member_2,18.237614664166664
Team 5,INC1219,2025-05-05 21:00:00,2025-05-06 09:24:41.910167,Team 5_Member_2,12.411641713055555
Team 4,INC1220,2025-05-01 19:00:00,2025-05-01 21:46:34.053009,Team 4_Member_1,2.776125835833333
Team 1,INC1221,2025-05-06 21:00:00,2025-05-07 00:24:20.281264,Team 1_Member_2,3.405633684444444
Team 5,INC1222,2025-05-05 03:00:00,2025-05-05 06:51:57.863782,Team 5_Member_3,3.866073272777778
Team 3,INC1223,2025-05-06 13:00:00,2025-05-06 17:06:13.809650,Team 3_Member_1,4.1038360138888885
Team 10,INC1224,2025-05-07 06:00:00,2025-05-07 13:57:40.138590,Team 10_Member_5,7.961149608333333
Team 2,INC1225,2025-05-07 23:00:00,2025-05-08 15:36:02.542096,Team 2_Member_5,16.600706137777777
Team 1,INC1226,2025-05-04 00:00:00,2025-05-04 14:16:50.384022,Team 1_Member_5,14.280662228333332
Team 8,INC1227,2025-05-04 21:00:00,2025-05-04 22:07:41.950877,Team 8_Member_3,1.1283196880555557
Team 5,INC1228,2025-05-10 19:00:00,2025-05-11 00:15:04.482806,Team 5_Member_4,5.251245223888889
Team 5,INC1229,2025-05-06 16:00:00,2025-05-06 18:17:38.955881,Team 5_Member_3,2.294154411388889
Team 3,INC1230,2025-05-01 00:00:00,2025-05-01 13:30:50.153515,Team 3_Member_3,13.513931531944444
Team 6,INC1231,2025-05-03 15:00:00,2025-05-04 06:12:37.279609,Team 6_Member_4,15.210355446944444
Team 9,INC1232,2025-05-01 13:00:00,2025-05-02 05:04:16.544676,Team 9_Member_5,16.07126241
Team 3,INC1233,2025-05-07 20:00:00,2025-05-08 12:51:03.718172,Team 3_Member_5,16.851032825555556
Team 10,INC1234,2025-05-04 16:00:00,2025-05-05 12:58:19.296023,Team 10_Member_4,20.972026673055556
Team 9,INC1235,2025-05-02 15:00:00,2025-05-02 21:00:49.903315,Team 9_Member_2,6.013862031944444
Team 8,INC1236,2025-05-06 04:00:00,2025-05-06 07:35:11.229916,Team 8_Member_3,3.5864527544444447
Team 7,INC1237,2025-05-07 08:00:00,2025-05-07 12:23:26.414194,Team 7_Member_1,4.390670609444444
Team 7,INC1238,2025-05-09 13:00:00,2025-05-09 13:41:21.909184,Team 7_Member_2,0.6894192177777778
Team 8,INC1239,2025-05-02 14:00:00,2025-05-02 15:14:35.326171,Team 8_Member_3,1.243146158611111
Team 6,INC1240,2025-05-06 14:00:00,2025-05-07 03:06:49.292319,Team 6_Member_3,13.113692310833333
Team 10,INC1241,2025-05-01 14:00:00,2025-05-02 11:05:20.553332,Team 10_Member_4,21.08904259222222
Team 1,INC1242,2025-05-10 05:00:00,2025-05-11 03:25:58.919899,Team 1_Member_4,22.433033305277778
